"dataset","method","truths_effective","F1_mean","F1_CI_half","n_reps"
"GISAID_US","e_agglo",2,0.606,0.0153,1583
"GISAID_US","e_agglo",3,0.5645,0.0156,1433
"GISAID_US","e_agglo",4,0.4998,0.0181,1160
"GISAID_US","e_agglo",5,0.4384,0.0208,622
"GISAID_US","e_agglo",6,0.3745,0.0129,203
"GISAID_US","ks_cp3o_dynamic",2,0.2527,0.0132,1583
"GISAID_US","ks_cp3o_dynamic",3,0.4204,0.0126,1433
"GISAID_US","ks_cp3o_dynamic",4,0.4988,0.0074,1160
"GISAID_US","ks_cp3o_dynamic",5,0.482,0.007,622
"GISAID_US","ks_cp3o_dynamic",6,0.4096,0.0207,203
"NCBI_US","e_agglo",2,0.7307,0.0157,1004
"NCBI_US","e_agglo",3,0.7092,0.0136,1070
"NCBI_US","e_agglo",4,0.5209,0.0119,1632
"NCBI_US","e_agglo",5,0.4014,0.0085,1295
"NCBI_US","ks_cp3o_dynamic",2,0.247,0.0199,1004
"NCBI_US","ks_cp3o_dynamic",3,0.4189,0.0154,1070
"NCBI_US","ks_cp3o_dynamic",4,0.615,0.0051,1632
"NCBI_US","ks_cp3o_dynamic",5,0.5615,0.0026,1295
