"dataset","tier","K","F1_mean","F1_CI_half","n_reps"
"GISAID_US","long",1,0.1373,0.0089,1667
"GISAID_US","long",2,0.1373,0.0089,1667
"GISAID_US","long",3,0.3492,0.0061,1667
"GISAID_US","long",5,0.4227,0.0061,1667
"GISAID_US","long",10,0.4478,0.0059,1667
"GISAID_US","medium",1,0.2718,0.0106,1667
"GISAID_US","medium",2,0.2718,0.0106,1667
"GISAID_US","medium",3,0.5093,0.0086,1667
"GISAID_US","medium",5,0.5093,0.0086,1667
"GISAID_US","medium",10,0.5093,0.0086,1667
"GISAID_US","short",1,0.2211,0.0129,1667
"GISAID_US","short",2,0.2211,0.0129,1667
"GISAID_US","short",3,0.2211,0.0129,1667
"GISAID_US","short",5,0.2211,0.0129,1667
"GISAID_US","short",10,0.2211,0.0129,1667
"NCBI_US","long",1,0.367,0.0016,1667
"NCBI_US","long",2,0.367,0.0016,1667
"NCBI_US","long",3,0.6196,0.0023,1667
"NCBI_US","long",5,0.6196,0.0023,1667
"NCBI_US","long",10,0.6196,0.0023,1667
"NCBI_US","medium",1,0.4201,0.0038,1667
"NCBI_US","medium",2,0.4201,0.0038,1667
"NCBI_US","medium",3,0.5789,0.0058,1667
"NCBI_US","medium",5,0.5789,0.0058,1667
"NCBI_US","medium",10,0.5789,0.0058,1667
"NCBI_US","short",1,0.2575,0.0136,1667
"NCBI_US","short",2,0.2575,0.0136,1667
"NCBI_US","short",3,0.2575,0.0136,1667
"NCBI_US","short",5,0.2575,0.0136,1667
"NCBI_US","short",10,0.2575,0.0136,1667
