"dataset","tier","method","F1_full_mean","F1_reduced_mean","delta_mean","wilcoxon_p","n_pairs"
"GISAID_US","long","e_agglo",0.3567,0.373,-0.0164,0.001027,1667
"GISAID_US","long","hdcp_binseg",0.3546,0.3425,0.0121,1.694e-05,1667
"GISAID_US","long","hdcp_wbs",0,0,0,NA,1667
"GISAID_US","long","ks_cp3o_dynamic",0.4478,0.4976,-0.0498,3.791e-35,1667
"GISAID_US","long","ks_cp3o_K1",0.1373,0.1643,-0.0271,9.139e-11,1667
"GISAID_US","long","ks_cp3o_K10",0.4478,0.4976,-0.0498,3.791e-35,1667
"GISAID_US","long","ks_cp3o_K2",0.1373,0.1643,-0.0271,9.139e-11,1667
"GISAID_US","long","ks_cp3o_K3",0.3492,0.3404,0.0087,0.3235,1667
"GISAID_US","long","ks_cp3o_K5",0.4227,0.4821,-0.0594,7.925e-45,1667
"GISAID_US","medium","e_agglo",0.4664,0.3911,0.0753,5.997e-65,1667
"GISAID_US","medium","hdcp_binseg",0.0853,0.0715,0.0138,1.235e-11,1667
"GISAID_US","medium","hdcp_wbs",0,0,0,NA,1667
"GISAID_US","medium","ks_cp3o_dynamic",0.5093,0.4746,0.0346,8.715e-18,1667
"GISAID_US","medium","ks_cp3o_K1",0.2718,0.2849,-0.0131,0.7784,1667
"GISAID_US","medium","ks_cp3o_K10",0.5093,0.4746,0.0346,8.715e-18,1667
"GISAID_US","medium","ks_cp3o_K2",0.2718,0.2849,-0.0131,0.7784,1667
"GISAID_US","medium","ks_cp3o_K3",0.5093,0.4746,0.0346,8.715e-18,1667
"GISAID_US","medium","ks_cp3o_K5",0.5093,0.4746,0.0346,8.715e-18,1667
"GISAID_US","short","e_agglo",0.7946,0.7142,0.0804,2.431e-74,1667
"GISAID_US","short","hdcp_binseg",0,0,0,NA,1667
"GISAID_US","short","hdcp_wbs",0,0,0,NA,1667
"GISAID_US","short","ks_cp3o_dynamic",0.2211,0.2211,0,NA,1667
"GISAID_US","short","ks_cp3o_K1",0.2211,0.2211,0,NA,1667
"GISAID_US","short","ks_cp3o_K10",0.2211,0.2211,0,NA,1667
"GISAID_US","short","ks_cp3o_K2",0.2211,0.2211,0,NA,1667
"GISAID_US","short","ks_cp3o_K3",0.2211,0.2211,0,NA,1667
"GISAID_US","short","ks_cp3o_K5",0.2211,0.2211,0,NA,1667
"NCBI_US","long","e_agglo",0.3333,0.4209,-0.0876,2.498e-135,1667
"NCBI_US","long","hdcp_binseg",0.367,0.367,0,NA,1667
"NCBI_US","long","hdcp_wbs",0,0,0,NA,1667
"NCBI_US","long","ks_cp3o_dynamic",0.6196,0.6297,-0.0101,1.091e-17,1667
"NCBI_US","long","ks_cp3o_K1",0.367,0.367,0,NA,1667
"NCBI_US","long","ks_cp3o_K10",0.6196,0.6297,-0.0101,1.091e-17,1667
"NCBI_US","long","ks_cp3o_K2",0.367,0.367,0,NA,1667
"NCBI_US","long","ks_cp3o_K3",0.6196,0.6196,0,NA,1667
"NCBI_US","long","ks_cp3o_K5",0.6196,0.6297,-0.0101,1.091e-17,1667
"NCBI_US","medium","e_agglo",0.5892,0.5267,0.0626,8.358e-46,1667
"NCBI_US","medium","hdcp_binseg",0.0999,0.1278,-0.0279,5.343e-22,1667
"NCBI_US","medium","hdcp_wbs",0,0,0,NA,1667
"NCBI_US","medium","ks_cp3o_dynamic",0.5789,0.5341,0.0447,3.875e-28,1667
"NCBI_US","medium","ks_cp3o_K1",0.4201,0.3977,0.0224,7.51e-14,1667
"NCBI_US","medium","ks_cp3o_K10",0.5789,0.5341,0.0447,3.875e-28,1667
"NCBI_US","medium","ks_cp3o_K2",0.4201,0.3977,0.0224,7.51e-14,1667
"NCBI_US","medium","ks_cp3o_K3",0.5789,0.5341,0.0447,3.875e-28,1667
"NCBI_US","medium","ks_cp3o_K5",0.5789,0.5341,0.0447,3.875e-28,1667
"NCBI_US","short","e_agglo",0.7946,0.7777,0.0169,0.01163,1667
"NCBI_US","short","hdcp_binseg",0,0,0,NA,1667
"NCBI_US","short","hdcp_wbs",0,0,0,NA,1667
"NCBI_US","short","ks_cp3o_dynamic",0.2575,0.2575,0,NA,1667
"NCBI_US","short","ks_cp3o_K1",0.2575,0.2575,0,NA,1667
"NCBI_US","short","ks_cp3o_K10",0.2575,0.2575,0,NA,1667
"NCBI_US","short","ks_cp3o_K2",0.2575,0.2575,0,NA,1667
"NCBI_US","short","ks_cp3o_K3",0.2575,0.2575,0,NA,1667
"NCBI_US","short","ks_cp3o_K5",0.2575,0.2575,0,NA,1667
