"dataset","variant","strategy","metric","cell_status","cell_status_reason","predecessor_name","n_class1_sites","gmm_G","gmm_modelName","n_bins","n_frames","k_selected","silhouette_mean","metric_status","convergence_first_snp","convergence_first_mut","convergence_first_class1","walltime_s"
"GISAID_US","Alpha","cumulative_1m","entropy","underpowered_bin","1 / 20 bins have < 30 seqs (worst = 6).","D614G",43,11,"V",20,0,NA,NA,NA,NA,NA,NA,7.69501113891602
"GISAID_US","Alpha","cumulative_1m","hellinger_T1","underpowered_bin","1 / 20 bins have < 30 seqs (worst = 6).","D614G",43,11,"V",20,0,NA,NA,NA,NA,NA,NA,7.69501113891602
"GISAID_US","Alpha","cumulative_1m","hellinger_Tpred","underpowered_bin","1 / 20 bins have < 30 seqs (worst = 6).","D614G",43,11,"V",20,0,NA,NA,NA,NA,NA,NA,7.69501113891602
"GISAID_US","Alpha","disjoint_2m","entropy","ok",NA,"D614G",43,11,"V",10,6,5,0.416715301487559,"ok",3,4,NA,4267.46276569366
"GISAID_US","Alpha","disjoint_2m","hellinger_T1","ok",NA,"D614G",43,11,"V",10,6,2,0.635799606630825,"ok",3,3,3,4267.46276569366
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred","ok",NA,"D614G",43,11,"V",10,6,2,0.639322775920541,"ok",3,3,3,4267.46276569366
"GISAID_US","Alpha","sliding_2m","entropy","ok",NA,"D614G",43,11,"V",19,15,4,0.367869302561309,"ok",3,3,3,28602.3708174229
"GISAID_US","Alpha","sliding_2m","hellinger_T1","ok",NA,"D614G",43,11,"V",19,15,2,0.60067397536599,"ok",5,3,3,28602.3708174229
"GISAID_US","Alpha","sliding_2m","hellinger_Tpred","ok",NA,"D614G",43,11,"V",19,15,2,0.609805066284157,"ok",3,3,3,28602.3708174229
"GISAID_US","Beta","cumulative_1m","entropy","ok",NA,"Alpha",44,7,"V",20,16,2,0.45515626524186,"ok",4,3,4,7898.57077002525
"GISAID_US","Beta","cumulative_1m","hellinger_T1","ok",NA,"Alpha",44,7,"V",20,16,4,0.574953512080971,"ok",10,3,4,7898.57077002525
"GISAID_US","Beta","cumulative_1m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",20,16,4,0.589316004328673,"ok",4,3,4,7898.57077002525
"GISAID_US","Beta","disjoint_2m","entropy","ok",NA,"Alpha",44,7,"V",10,6,5,0.401847239097204,"ok",4,3,6,3980.09116792679
"GISAID_US","Beta","disjoint_2m","hellinger_T1","ok",NA,"Alpha",44,7,"V",10,6,2,0.667709998494719,"ok",4,3,5,3980.09116792679
"GISAID_US","Beta","disjoint_2m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",10,6,2,0.671721689223066,"ok",4,3,5,3980.09116792679
"GISAID_US","Beta","sliding_2m","entropy","ok",NA,"Alpha",44,7,"V",19,15,4,0.370512037105984,"ok",4,4,4,21552.8294661045
"GISAID_US","Beta","sliding_2m","hellinger_T1","ok",NA,"Alpha",44,7,"V",19,15,2,0.65627483738923,"ok",9,3,4,21552.8294661045
"GISAID_US","Beta","sliding_2m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",19,15,2,0.661918250172495,"ok",9,3,4,21552.8294661045
"GISAID_US","Delta","cumulative_1m","entropy","ok",NA,"Beta",23,11,"V",20,16,4,0.501949638764188,"ok",3,3,3,6864.36218833923
"GISAID_US","Delta","cumulative_1m","hellinger_T1","ok",NA,"Beta",23,11,"V",20,16,4,0.580291944957874,"ok",3,3,3,6864.36218833923
"GISAID_US","Delta","cumulative_1m","hellinger_Tpred","ok",NA,"Beta",23,11,"V",20,16,3,0.616388440971711,"ok",3,3,3,6864.36218833923
"GISAID_US","Delta","disjoint_2m","entropy","ok",NA,"Beta",23,11,"V",10,6,2,0.406592494661827,"ok",3,NA,NA,1695.52169537544
"GISAID_US","Delta","disjoint_2m","hellinger_T1","ok",NA,"Beta",23,11,"V",10,6,2,0.685270695665943,"ok",3,4,4,1695.52169537544
"GISAID_US","Delta","disjoint_2m","hellinger_Tpred","ok",NA,"Beta",23,11,"V",10,6,2,0.706696179031695,"ok",3,4,4,1695.52169537544
"GISAID_US","Delta","sliding_2m","entropy","ok",NA,"Beta",23,11,"V",19,15,2,0.430012937278662,"ok",3,3,3,13290.5368127823
"GISAID_US","Delta","sliding_2m","hellinger_T1","ok",NA,"Beta",23,11,"V",19,15,2,0.685155843178422,"ok",3,3,3,13290.5368127823
"GISAID_US","Delta","sliding_2m","hellinger_Tpred","ok",NA,"Beta",23,11,"V",19,15,2,0.695609489755119,"ok",3,3,3,13290.5368127823
"GISAID_US","Epsilon","cumulative_1m","entropy","underpowered_bin","2 / 16 bins have < 30 seqs (worst = 2).","D614G",40,12,"V",16,0,NA,NA,NA,NA,NA,NA,4.07338929176331
"GISAID_US","Epsilon","cumulative_1m","hellinger_T1","underpowered_bin","2 / 16 bins have < 30 seqs (worst = 2).","D614G",40,12,"V",16,0,NA,NA,NA,NA,NA,NA,4.07338929176331
"GISAID_US","Epsilon","cumulative_1m","hellinger_Tpred","underpowered_bin","2 / 16 bins have < 30 seqs (worst = 2).","D614G",40,12,"V",16,0,NA,NA,NA,NA,NA,NA,4.07338929176331
"GISAID_US","Epsilon","disjoint_2m","entropy","underpowered_bin","1 / 8 bins have < 30 seqs (worst = 8).","D614G",40,12,"V",8,0,NA,NA,NA,NA,NA,NA,3.45560836791992
"GISAID_US","Epsilon","disjoint_2m","hellinger_T1","underpowered_bin","1 / 8 bins have < 30 seqs (worst = 8).","D614G",40,12,"V",8,0,NA,NA,NA,NA,NA,NA,3.45560836791992
"GISAID_US","Epsilon","disjoint_2m","hellinger_Tpred","underpowered_bin","1 / 8 bins have < 30 seqs (worst = 8).","D614G",40,12,"V",8,0,NA,NA,NA,NA,NA,NA,3.45560836791992
"GISAID_US","Epsilon","sliding_2m","entropy","underpowered_bin","1 / 15 bins have < 30 seqs (worst = 8).","D614G",40,12,"V",15,0,NA,NA,NA,NA,NA,NA,3.51719927787781
"GISAID_US","Epsilon","sliding_2m","hellinger_T1","underpowered_bin","1 / 15 bins have < 30 seqs (worst = 8).","D614G",40,12,"V",15,0,NA,NA,NA,NA,NA,NA,3.51719927787781
"GISAID_US","Epsilon","sliding_2m","hellinger_Tpred","underpowered_bin","1 / 15 bins have < 30 seqs (worst = 8).","D614G",40,12,"V",15,0,NA,NA,NA,NA,NA,NA,3.51719927787781
"GISAID_US","Eta","cumulative_1m","entropy","underpowered_bin","2 / 20 bins have < 30 seqs (worst = 2).","D614G",44,11,"V",20,0,NA,NA,NA,NA,NA,NA,5.94240641593933
"GISAID_US","Eta","cumulative_1m","hellinger_T1","underpowered_bin","2 / 20 bins have < 30 seqs (worst = 2).","D614G",44,11,"V",20,0,NA,NA,NA,NA,NA,NA,5.94240641593933
"GISAID_US","Eta","cumulative_1m","hellinger_Tpred","underpowered_bin","2 / 20 bins have < 30 seqs (worst = 2).","D614G",44,11,"V",20,0,NA,NA,NA,NA,NA,NA,5.94240641593933
"GISAID_US","Eta","disjoint_2m","entropy","underpowered_bin","1 / 10 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",10,0,NA,NA,NA,NA,NA,NA,4.82713532447815
"GISAID_US","Eta","disjoint_2m","hellinger_T1","underpowered_bin","1 / 10 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",10,0,NA,NA,NA,NA,NA,NA,4.82713532447815
"GISAID_US","Eta","disjoint_2m","hellinger_Tpred","underpowered_bin","1 / 10 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",10,0,NA,NA,NA,NA,NA,NA,4.82713532447815
"GISAID_US","Eta","sliding_2m","entropy","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,5.00283932685852
"GISAID_US","Eta","sliding_2m","hellinger_T1","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,5.00283932685852
"GISAID_US","Eta","sliding_2m","hellinger_Tpred","underpowered_bin","1 / 19 bins have < 30 seqs (worst = 8).","D614G",44,11,"V",19,0,NA,NA,NA,NA,NA,NA,5.00283932685852
"GISAID_US","Gamma","cumulative_1m","entropy","ok",NA,"Alpha",44,7,"V",20,16,2,0.45515626524186,"ok",3,4,4,7723.58933544159
