"dataset","variant","metric","strategy_a","strategy_b","n_sites_common","k_a","k_b","ARI"
"GISAID_US","Alpha","entropy","sliding_2m","disjoint_2m",43,4,5,0.777212066838623
"GISAID_US","Alpha","hellinger_T1","sliding_2m","disjoint_2m",43,2,2,1
"GISAID_US","Alpha","hellinger_Tpred","sliding_2m","disjoint_2m",43,2,2,1
"GISAID_US","Beta","entropy","sliding_2m","disjoint_2m",44,4,5,0.584979425010968
"GISAID_US","Beta","entropy","sliding_2m","cumulative_1m",44,4,2,0.0053111807163285
"GISAID_US","Beta","entropy","disjoint_2m","cumulative_1m",44,5,2,0.00676515256109353
"GISAID_US","Beta","hellinger_T1","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Beta","hellinger_T1","sliding_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Beta","hellinger_T1","disjoint_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Beta","hellinger_Tpred","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Beta","hellinger_Tpred","sliding_2m","cumulative_1m",44,2,4,0.480732045060442
"GISAID_US","Beta","hellinger_Tpred","disjoint_2m","cumulative_1m",44,2,4,0.480732045060442
"GISAID_US","Delta","entropy","sliding_2m","disjoint_2m",23,2,2,1
"GISAID_US","Delta","entropy","sliding_2m","cumulative_1m",23,2,4,0.62629246676514
"GISAID_US","Delta","entropy","disjoint_2m","cumulative_1m",23,2,4,0.62629246676514
"GISAID_US","Delta","hellinger_T1","sliding_2m","disjoint_2m",23,2,2,1
"GISAID_US","Delta","hellinger_T1","sliding_2m","cumulative_1m",23,2,4,0.62899753517831
"GISAID_US","Delta","hellinger_T1","disjoint_2m","cumulative_1m",23,2,4,0.62899753517831
"GISAID_US","Delta","hellinger_Tpred","sliding_2m","disjoint_2m",23,2,2,1
"GISAID_US","Delta","hellinger_Tpred","sliding_2m","cumulative_1m",23,2,3,0.684184246660841
"GISAID_US","Delta","hellinger_Tpred","disjoint_2m","cumulative_1m",23,2,3,0.684184246660841
"GISAID_US","Gamma","entropy","sliding_2m","disjoint_2m",44,4,5,0.584979425010968
"GISAID_US","Gamma","entropy","sliding_2m","cumulative_1m",44,4,2,0.0053111807163285
"GISAID_US","Gamma","entropy","disjoint_2m","cumulative_1m",44,5,2,0.00676515256109353
"GISAID_US","Gamma","hellinger_T1","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Gamma","hellinger_T1","sliding_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Gamma","hellinger_T1","disjoint_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Gamma","hellinger_Tpred","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Gamma","hellinger_Tpred","sliding_2m","cumulative_1m",44,2,4,0.480732045060442
"GISAID_US","Gamma","hellinger_Tpred","disjoint_2m","cumulative_1m",44,2,4,0.480732045060442
"GISAID_US","Kappa","entropy","sliding_2m","disjoint_2m",45,5,5,1
"GISAID_US","Kappa","entropy","sliding_2m","cumulative_1m",45,5,5,0.68360155788721
"GISAID_US","Kappa","entropy","disjoint_2m","cumulative_1m",45,5,5,0.68360155788721
"GISAID_US","Kappa","hellinger_T1","sliding_2m","disjoint_2m",45,2,2,0.901103391908459
"GISAID_US","Kappa","hellinger_T1","sliding_2m","cumulative_1m",45,2,4,0.566000974184121
"GISAID_US","Kappa","hellinger_T1","disjoint_2m","cumulative_1m",45,2,4,0.489128544094625
"GISAID_US","Kappa","hellinger_Tpred","sliding_2m","disjoint_2m",45,2,2,1
"GISAID_US","Kappa","hellinger_Tpred","sliding_2m","cumulative_1m",45,2,3,0.505464102918799
"GISAID_US","Kappa","hellinger_Tpred","disjoint_2m","cumulative_1m",45,2,3,0.505464102918799
"GISAID_US","Lambda","entropy","sliding_2m","disjoint_2m",45,5,5,1
"GISAID_US","Lambda","entropy","sliding_2m","cumulative_1m",45,5,5,0.68360155788721
"GISAID_US","Lambda","entropy","disjoint_2m","cumulative_1m",45,5,5,0.68360155788721
"GISAID_US","Lambda","hellinger_T1","sliding_2m","disjoint_2m",45,2,2,0.901103391908459
"GISAID_US","Lambda","hellinger_T1","sliding_2m","cumulative_1m",45,2,4,0.566000974184121
"GISAID_US","Lambda","hellinger_T1","disjoint_2m","cumulative_1m",45,2,4,0.489128544094625
"GISAID_US","Lambda","hellinger_Tpred","sliding_2m","disjoint_2m",45,2,2,1
"GISAID_US","Lambda","hellinger_Tpred","sliding_2m","cumulative_1m",45,2,3,0.505464102918799
"GISAID_US","Lambda","hellinger_Tpred","disjoint_2m","cumulative_1m",45,2,3,0.505464102918799
"GISAID_US","Omicron","entropy","sliding_2m","disjoint_2m",49,4,4,0.768287369284396
"GISAID_US","Omicron","entropy","sliding_2m","cumulative_1m",49,4,2,0.532516016039084
"GISAID_US","Omicron","entropy","disjoint_2m","cumulative_1m",49,4,2,0.571621092400194
"GISAID_US","Omicron","hellinger_T1","sliding_2m","disjoint_2m",49,4,4,0.985200799106511
"GISAID_US","Omicron","hellinger_T1","sliding_2m","cumulative_1m",49,4,2,0.394872596529623
"GISAID_US","Omicron","hellinger_T1","disjoint_2m","cumulative_1m",49,4,2,0.394872596529623
"GISAID_US","Omicron","hellinger_Tpred","sliding_2m","disjoint_2m",49,4,4,0.985200799106511
"GISAID_US","Omicron","hellinger_Tpred","sliding_2m","cumulative_1m",49,4,2,0.394872596529623
"GISAID_US","Omicron","hellinger_Tpred","disjoint_2m","cumulative_1m",49,4,2,0.394872596529623
"GISAID_US","Theta","entropy","sliding_2m","disjoint_2m",44,4,5,0.584979425010968
"GISAID_US","Theta","entropy","sliding_2m","cumulative_1m",44,4,2,0.0053111807163285
"GISAID_US","Theta","entropy","disjoint_2m","cumulative_1m",44,5,2,0.00676515256109353
"GISAID_US","Theta","hellinger_T1","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Theta","hellinger_T1","sliding_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Theta","hellinger_T1","disjoint_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Theta","hellinger_Tpred","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Theta","hellinger_Tpred","sliding_2m","cumulative_1m",44,2,4,0.480732045060442
"GISAID_US","Theta","hellinger_Tpred","disjoint_2m","cumulative_1m",44,2,4,0.480732045060442
"NCBI_US","Alpha","entropy","sliding_2m","disjoint_2m",25,6,2,0.0469738030713641
"NCBI_US","Alpha","entropy","sliding_2m","cumulative_1m",25,6,2,0.0469738030713641
"NCBI_US","Alpha","entropy","disjoint_2m","cumulative_1m",25,2,2,1
"NCBI_US","Alpha","hellinger_T1","sliding_2m","disjoint_2m",25,3,3,1
"NCBI_US","Alpha","hellinger_T1","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Alpha","hellinger_T1","disjoint_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Alpha","hellinger_Tpred","sliding_2m","disjoint_2m",25,3,2,0.913070613409415
"NCBI_US","Alpha","hellinger_Tpred","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Alpha","hellinger_Tpred","disjoint_2m","cumulative_1m",25,2,2,-0.0172143974960875
"NCBI_US","Beta","entropy","sliding_2m","disjoint_2m",25,6,2,0.0469738030713641
"NCBI_US","Beta","entropy","sliding_2m","cumulative_1m",25,6,2,0.0469738030713641
"NCBI_US","Beta","entropy","disjoint_2m","cumulative_1m",25,2,2,1
"NCBI_US","Beta","hellinger_T1","sliding_2m","disjoint_2m",25,3,6,0.560429172377936
"NCBI_US","Beta","hellinger_T1","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Beta","hellinger_T1","disjoint_2m","cumulative_1m",25,6,2,0.0525050841190609
"NCBI_US","Beta","hellinger_Tpred","sliding_2m","disjoint_2m",25,3,3,1
