"dataset","variant","strategy","metric","cell_status","enrichment_status","n_snp_in_class1","n_class1_total","n_snp_total_truth","fisher_p","fisher_p_bonferroni","max_overlap_cluster","max_overlap_OR"
"GISAID_US","Alpha","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Alpha","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Alpha","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Alpha","disjoint_2m","entropy","ok","ok",6,43,6,0.0050994900509949,1,1,Inf
"GISAID_US","Alpha","disjoint_2m","hellinger_T1","ok","ok",6,43,6,1,1,1,1.36969631715668
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred","ok","ok",6,43,6,1,1,1,1.36969631715668
"GISAID_US","Alpha","sliding_2m","entropy","ok","ok",6,43,6,0.0005999400059994,0.131986801319868,4,Inf
"GISAID_US","Alpha","sliding_2m","hellinger_T1","ok","ok",6,43,6,1,1,1,1.36969631715668
"GISAID_US","Alpha","sliding_2m","hellinger_Tpred","ok","ok",6,43,6,1,1,1,1.36969631715668
"GISAID_US","Beta","cumulative_1m","entropy","ok","ok",5,44,6,1,1,1,Inf
"GISAID_US","Beta","cumulative_1m","hellinger_T1","ok","ok",5,44,6,0.849415058494151,1,1,2.72625204752386
"GISAID_US","Beta","cumulative_1m","hellinger_Tpred","ok","ok",5,44,6,0.73002699730027,1,3,2.51742760507959
"GISAID_US","Beta","disjoint_2m","entropy","ok","ok",5,44,6,0.929207079292071,1,3,2.17633588618977
"GISAID_US","Beta","disjoint_2m","hellinger_T1","ok","ok",5,44,6,0.566080544526376,1,1,Inf
"GISAID_US","Beta","disjoint_2m","hellinger_Tpred","ok","ok",5,44,6,0.566080544526376,1,1,Inf
"GISAID_US","Beta","sliding_2m","entropy","ok","ok",5,44,6,0.564443555644436,1,4,2.17633588618977
"GISAID_US","Beta","sliding_2m","hellinger_T1","ok","ok",5,44,6,0.566080544526376,1,1,Inf
"GISAID_US","Beta","sliding_2m","hellinger_Tpred","ok","ok",5,44,6,0.566080544526376,1,1,Inf
"GISAID_US","Delta","cumulative_1m","entropy","ok","ok",5,23,5,0.0563943605639436,1,4,Inf
"GISAID_US","Delta","cumulative_1m","hellinger_T1","ok","ok",5,23,5,0.0060993900609939,1,4,Inf
"GISAID_US","Delta","cumulative_1m","hellinger_Tpred","ok","ok",5,23,5,0.0038996100389961,0.857914208579142,2,Inf
"GISAID_US","Delta","disjoint_2m","entropy","ok","ok",5,23,5,0.617522066034652,1,2,2.26815570037448
"GISAID_US","Delta","disjoint_2m","hellinger_T1","ok","ok",5,23,5,0.00374453921364676,0.823798627002288,2,Inf
"GISAID_US","Delta","disjoint_2m","hellinger_Tpred","ok","ok",5,23,5,0.00374453921364676,0.823798627002288,2,Inf
"GISAID_US","Delta","sliding_2m","entropy","ok","ok",5,23,5,0.617522066034652,1,2,2.26815570037448
