"dataset","variant","strategy","metric","frame_idx","centre_bin","fitting_start_bin","fitting_end_bin","gmm_status","gmm_G","gmm_n_sequences","fit_status","n_class1_sites","n_clusters","silhouette_mean","structurally_null","n_snp_in_class1","n_mut_in_class1","converged_snp","converged_mut","converged_class1","qualifying_cluster_snp","qualifying_cluster_mut","qualifying_cluster_class1","anchor_idx","n_oversized_clusters"
"GISAID_US","Alpha","disjoint_2m","entropy",1,3,1,5,"ok",6,3355,"ok",81,5,0.525284635682244,FALSE,3,9,TRUE,FALSE,FALSE,4,NA,NA,NA,1
"GISAID_US","Alpha","disjoint_2m","entropy",2,4,2,6,"ok",12,8330,"ok",10,2,0.351752008502456,FALSE,1,2,TRUE,TRUE,FALSE,1,1,NA,NA,0
"GISAID_US","Alpha","disjoint_2m","entropy",3,5,3,7,"ok",9,15736,"ok",31,2,0.371401314961416,FALSE,6,12,TRUE,FALSE,FALSE,1,NA,NA,NA,0
"GISAID_US","Alpha","disjoint_2m","entropy",4,6,4,8,"ok",9,23514,"ok",40,3,0.432390049189773,FALSE,6,12,TRUE,FALSE,FALSE,2,NA,NA,NA,0
"GISAID_US","Alpha","disjoint_2m","entropy",5,7,5,9,"ok",9,29804,"ok",41,3,0.42029752074484,FALSE,6,11,TRUE,FALSE,FALSE,3,NA,NA,NA,0
"GISAID_US","Alpha","disjoint_2m","entropy",6,8,6,10,"ok",10,44933,"ok",43,5,0.416715301487559,FALSE,6,11,TRUE,FALSE,FALSE,1,NA,NA,NA,0
"GISAID_US","Alpha","disjoint_2m","hellinger_T1",1,3,1,5,"ok",6,3355,"ok",81,2,0.731683184444934,FALSE,3,9,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","disjoint_2m","hellinger_T1",2,4,2,6,"ok",12,8330,"ok",10,2,0.752371612448079,FALSE,1,2,TRUE,TRUE,FALSE,2,2,NA,1,0
"GISAID_US","Alpha","disjoint_2m","hellinger_T1",3,5,3,7,"ok",9,15736,"ok",31,2,0.632133296790968,FALSE,6,12,FALSE,FALSE,FALSE,NA,NA,NA,1,0
"GISAID_US","Alpha","disjoint_2m","hellinger_T1",4,6,4,8,"ok",9,23514,"ok",40,2,0.655702141519645,FALSE,6,12,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","disjoint_2m","hellinger_T1",5,7,5,9,"ok",9,29804,"ok",41,2,0.654409795977241,FALSE,6,11,FALSE,FALSE,FALSE,NA,NA,NA,1,0
"GISAID_US","Alpha","disjoint_2m","hellinger_T1",6,8,6,10,"ok",10,44933,"ok",43,2,0.635799606630825,FALSE,6,11,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred",1,3,1,5,"ok",6,3355,"ok",81,2,0.675266133837357,FALSE,3,9,TRUE,TRUE,TRUE,2,2,2,2,1
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred",2,4,2,6,"ok",12,8330,"ok",10,2,0.749859494525002,FALSE,1,2,TRUE,TRUE,FALSE,2,2,NA,2,0
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred",3,5,3,7,"ok",9,15736,"ok",31,2,0.628521592185819,FALSE,6,12,FALSE,FALSE,FALSE,NA,NA,NA,2,0
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred",4,6,4,8,"ok",9,23514,"ok",40,2,0.655330976134566,FALSE,6,12,TRUE,TRUE,TRUE,2,2,2,2,1
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred",5,7,5,9,"ok",9,29804,"ok",41,2,0.655385625142705,FALSE,6,11,FALSE,FALSE,FALSE,NA,NA,NA,2,0
"GISAID_US","Alpha","disjoint_2m","hellinger_Tpred",6,8,6,10,"ok",10,44933,"ok",43,2,0.639322775920541,FALSE,6,11,TRUE,TRUE,TRUE,2,2,2,2,1
"GISAID_US","Alpha","sliding_2m","entropy",1,3,1,5,"ok",3,2174,"ok",94,2,0.603876566113031,FALSE,3,8,TRUE,TRUE,TRUE,1,1,1,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",2,4,2,6,"ok",12,2794,"ok",4,2,0.240904754308196,TRUE,0,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,0
"GISAID_US","Alpha","sliding_2m","entropy",3,5,3,7,"ok",2,3001,"ok",292,2,0.759522831432716,FALSE,5,13,TRUE,TRUE,TRUE,1,1,1,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",4,6,4,8,"ok",2,3309,"ok",279,2,0.748568335707847,FALSE,5,13,TRUE,TRUE,TRUE,1,1,1,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",5,7,5,9,"ok",3,4283,"ok",102,2,0.598114185926302,FALSE,3,10,TRUE,TRUE,TRUE,1,1,1,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",6,8,6,10,"ok",4,6245,"ok",112,2,0.645649849866846,FALSE,4,11,TRUE,TRUE,TRUE,1,1,1,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",7,9,7,11,"ok",3,10600,"ok",144,2,0.666807727998952,FALSE,6,13,TRUE,TRUE,TRUE,1,1,1,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",8,10,8,12,"ok",15,16800,"ok",17,2,0.406252510667427,FALSE,3,7,TRUE,TRUE,FALSE,1,1,NA,NA,0
"GISAID_US","Alpha","sliding_2m","entropy",9,11,9,13,"ok",14,23898,"ok",29,2,0.407205455341152,FALSE,6,12,TRUE,FALSE,FALSE,1,NA,NA,NA,0
"GISAID_US","Alpha","sliding_2m","entropy",10,12,10,14,"ok",6,31989,"ok",44,3,0.407980623228007,FALSE,6,12,TRUE,FALSE,FALSE,1,NA,NA,NA,0
"GISAID_US","Alpha","sliding_2m","entropy",11,13,11,15,"ok",6,37805,"ok",57,3,0.433264041653591,FALSE,6,13,TRUE,TRUE,FALSE,3,3,NA,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",12,14,12,16,"ok",6,38039,"ok",56,3,0.431348679479988,FALSE,6,13,TRUE,TRUE,FALSE,3,3,NA,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",13,15,13,17,"ok",5,38129,"ok",53,3,0.400991482280043,FALSE,6,13,TRUE,TRUE,FALSE,3,3,NA,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",14,16,14,18,"ok",8,43262,"ok",58,2,0.403558953386793,FALSE,6,13,TRUE,TRUE,TRUE,2,2,2,NA,1
"GISAID_US","Alpha","sliding_2m","entropy",15,17,15,19,"ok",8,50300,"ok",43,6,0.404846860729581,FALSE,6,11,FALSE,FALSE,FALSE,NA,NA,NA,NA,0
"GISAID_US","Alpha","sliding_2m","hellinger_T1",1,3,1,5,"ok",3,2174,"ok",94,2,0.736912023009556,FALSE,3,8,FALSE,TRUE,TRUE,NA,2,2,1,1
"GISAID_US","Alpha","sliding_2m","hellinger_T1",2,4,2,6,"ok",12,2794,"ok",4,2,0.412164482192954,FALSE,0,1,FALSE,TRUE,FALSE,NA,2,NA,1,0
"GISAID_US","Alpha","sliding_2m","hellinger_T1",3,5,3,7,"ok",2,3001,"ok",292,2,0.79643821823486,FALSE,5,13,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","sliding_2m","hellinger_T1",4,6,4,8,"ok",2,3309,"ok",279,2,0.790125854010971,FALSE,5,13,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","sliding_2m","hellinger_T1",5,7,5,9,"ok",3,4283,"ok",102,2,0.74995244564967,FALSE,3,10,FALSE,TRUE,TRUE,NA,2,2,1,1
"GISAID_US","Alpha","sliding_2m","hellinger_T1",6,8,6,10,"ok",4,6245,"ok",112,2,0.706432419739166,FALSE,4,11,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","sliding_2m","hellinger_T1",7,9,7,11,"ok",3,10600,"ok",144,2,0.723164223355999,FALSE,6,13,TRUE,TRUE,TRUE,2,2,2,1,1
"GISAID_US","Alpha","sliding_2m","hellinger_T1",8,10,8,12,"ok",15,16800,"ok",17,2,0.590789513167152,FALSE,3,7,FALSE,FALSE,FALSE,NA,NA,NA,1,0
