"scenario","band","n_total","n_detected","detect_rate","median_detected","mean_detected","mean_ci_low","mean_ci_high","km_median","km_ci_low","km_ci_high"
1,"small",1500,1462,0.974666666666667,13,16.3077975376197,15.504670397299,17.3024316282642,13,13,13
1,"medium",1500,1495,0.996666666666667,30,38.4428093645485,37.0675503423662,39.987323896699,30,28,31
1,"large",1500,1500,1,26,30.2466666666667,29.3248383886277,31.2584259401642,26,25,27
1,"(all)",4500,4457,0.990444444444444,21,28.4236033206193,27.732460179803,29.1541503298364,22,21,22
2,"small",7500,4350,0.58,29,40.1512643678161,39.0501648444299,41.3624562100215,59,56,63
2,"medium",7500,7194,0.9592,42.5,65.0436474840145,63.617818220439,66.6069110335196,47,45,49
2,"large",7500,7500,1,36,37.1857333333333,36.7878666666667,37.5733282383469,36,34,36
2,"(all)",22500,19044,0.8464,34,48.3866309598824,47.7205227395895,49.047086013531,41,40,42
3,"small",37500,12709,0.338906666666667,36,49.4268628530962,48.5698664205359,50.3085998852699,NA,NA,NA
3,"medium",37500,34913,0.931013333333333,20,61.5964826855326,60.7110081353023,62.4702993490271,22,22,22
3,"large",37500,37500,1,40,42.2870133333333,42.0796364814022,42.4974169697439,40,40,40
3,"(all)",112500,85122,0.75664,35,51.2728436831841,50.8910216774473,51.6637872475473,49,48,50
4,"small",37500,6486,0.17296,34,46.0644465001542,44.8884341403446,47.3633113648786,NA,NA,NA
4,"medium",37500,29988,0.79968,20,69.8893223956249,68.6066379968566,71.1513864069839,24,24,25
4,"large",37500,37500,1,47,49.4553066666667,49.2570919813374,49.659273905412,47,47,47
4,"(all)",112500,73974,0.657546666666667,36,57.441655176143,56.9150699755172,57.9924027360965,61,61,62
NA,"(all)",252000,182597,0.72459126984127,35,52.9132187275804,52.6107186856294,53.2137836685121,52,52,52
